Date,CIEN
2000-01-03,194.6875
2000-01-04,186.15625
2000-01-05,174.125
2000-01-06,160.5625
2000-01-07,202.125
2000-01-10,225.3125
2000-01-11,211.3125
2000-01-12,207.375
2000-01-13,218.75
2000-01-14,233.84375
2000-01-18,243.90625
2000-01-19,238.875
2000-01-20,257.03125
2000-01-21,258.34375
2000-01-24,269.0625
2000-01-25,259.0
2000-01-26,238.4375
2000-01-27,247.40625
2000-01-28,231.4375
2000-01-31,229.6875
2000-02-01,242.375
2000-02-02,259.4375
2000-02-03,264.03125
2000-02-04,264.46875
2000-02-07,282.84375
2000-02-08,301.875
2000-02-09,292.90625
2000-02-10,346.5
2000-02-11,339.5
2000-02-14,349.34375
2000-02-15,348.90625
2000-02-16,411.90625
2000-02-17,397.46875
2000-02-18,403.59375
2000-02-22,416.71875
2000-02-23,408.84375
2000-02-24,436.40625
2000-02-25,474.6875
2000-02-28,522.59375
2000-02-29,559.34375
2000-03-01,619.5
2000-03-02,551.25
2000-03-03,592.59375
2000-03-06,616.65625
2000-03-07,591.5
2000-03-08,537.6875
2000-03-09,587.78125
2000-03-10,570.0625
2000-03-13,514.9375
2000-03-14,469.0
2000-03-15,438.59375
2000-03-16,467.1953125
2000-03-17,499.1875
2000-03-20,459.59375
2000-03-21,492.40625
2000-03-22,526.96875
2000-03-23,541.40625
2000-03-24,568.3125
2000-03-27,551.03125
2000-03-28,515.15625
2000-03-29,454.34375
2000-03-30,452.375
2000-03-31,441.4375
2000-04-03,398.5625
2000-04-04,357.4375
2000-04-05,346.9375
2000-04-06,411.03125
2000-04-07,463.75
2000-04-10,395.5
2000-04-11,371.65625
2000-04-12,338.1875
2000-04-13,350.0
2000-04-14,308.0
2000-04-17,325.9375
2000-04-18,364.875
2000-04-19,350.21875
2000-04-20,339.5
2000-04-24,316.75
2000-04-25,370.5625
2000-04-26,404.46875
2000-04-27,435.53125
2000-04-28,432.6875
2000-05-01,490.21875
2000-05-02,449.09375
2000-05-03,444.3359375
2000-05-04,464.1875
