,v9_core_70,v9_core_plus_rsr1,v9_core_plus_rsr2,v9_core_plus_rsr1_sgov_proxy,v9_core_plus_rsr2_sgov_proxy
2026-01-02,6000.0,6000.0,6000.0,6000.0,6000.0
2026-01-05,5995.800735,5995.800735,5995.800735,5995.979661427091,5995.979661427091
2026-01-06,6026.735347899738,6047.338698203683,6047.338698203683,6047.61149156588,6047.61149156588
2026-01-07,6021.964236029666,6019.291936309196,6019.291936309196,6019.65866971159,6019.65866971159
2026-01-08,6009.691202374791,5984.188794011743,5984.188794011743,5984.649321244154,5984.649321244154
2026-01-09,6044.6085294625445,6043.56650928309,6043.56650928309,6044.2147703857145,6044.2147703857145
2026-01-12,6049.703163555726,6071.279078556936,6071.279078556936,6072.115000424684,6072.115000424684
2026-01-13,6042.299680916267,6077.772278656735,6077.772278656735,6078.702213669769,6078.702213669769
2026-01-14,6009.161558887923,6044.282334728977,6044.282334728977,6045.3060635720285,6045.3060635720285
2026-01-15,6022.477546011131,6085.675104078748,6085.675104078748,6086.792772961996,6086.792772961996
2026-01-16,6018.939898614353,6089.877080705407,6089.877080705407,6091.370144223993,6091.370144223993
2026-01-20,5931.106376379037,5969.28119885095,5969.28119885095,5970.774262369536,5970.774262369536
2026-01-21,5982.908026693925,6047.010125777167,6047.010125777167,6048.503189295752,6048.503189295752
2026-01-22,6009.057999922413,6061.679920172646,6061.679920172646,6063.360717561445,6063.360717561445
2026-01-23,6016.479112209495,6073.005115711681,6073.005115711681,6074.967440800711,6074.967440800711
2026-01-26,6036.474321575622,6107.1879013717535,6107.1879013717535,6109.24416650098,6109.24416650098
2026-01-27,6064.162675641508,6171.178272649554,6171.178272649554,6173.234537778781,6173.234537778781
2026-01-28,6071.048276860812,6204.378174405967,6204.378174405967,6206.6221003003175,6206.6221003003175
2026-01-29,6053.960102193021,6207.276373639544,6207.276373639544,6209.614093363911,6209.614093363911
2026-01-30,6021.958447915166,6076.818985108759,6078.761600715944,6079.344511808429,6081.372453981008
2026-02-02,6046.968005418535,6109.00468564926,6120.717691422437,6111.65237815911,6123.451768421899
2026-02-03,5996.334505698044,6125.218048721738,6136.931054494916,6128.137373063198,6139.939115587166
2026-02-04,5949.550561664369,6050.636192090406,6062.349197863584,6053.6912796445595,6065.494197842723
2026-02-05,5893.760426972338,5986.620337411121,5998.333343184298,5989.675424965274,6001.478343163438
2026-02-06,5976.325982940857,6069.18589337964,6080.898899152818,6072.806348663517,6084.612792971476
