symbol,signal_date,rsr1_entry_date,rsr2_entry_date,rsr1_exit_date,rsr2_exit_date,rsr1_exit_reason,rsr2_exit_reason,rsr1_shares,rsr2_shares,rsr1_pnl,rsr2_pnl,pnl_delta,direct_exit_effect_on_rsr1_shares,profit_lock_activated,capital_path_and_sizing_residual
MU,2025-09-05,2025-09-08,2025-09-08,2025-10-07,2025-10-07,signal,signal,3,4,189.9813954781087,253.97519397081157,63.993798492702865,0.0,True,63.993798492702865
INTC,2025-02-12,2025-02-13,2025-02-13,2025-03-04,2025-02-24,stop,profit_lock,21,21,-40.851281528355,21.50185653500955,62.353138063364554,62.35313806336454,True,1.4210854715202004e-14
KLAC,2026-01-05,2026-01-06,2026-01-06,2026-02-02,2026-01-30,signal,profit_lock,4,4,9.139036530893463,24.738683998187184,15.599647467293721,15.599647467293721,True,0.0
NOK,2025-10-10,2025-10-13,2025-10-13,2025-11-11,2025-11-11,signal,signal,102,104,163.01867166519173,166.25433189392095,3.235660228729216,0.0,True,3.235660228729216
NOK,2025-09-04,2025-09-05,2025-09-05,2025-09-30,2025-09-30,signal,signal,114,115,16.325508697509918,16.48625877380391,0.16075007629399352,0.0,False,0.16075007629399352
COHR,2024-11-07,2024-11-08,2024-11-08,2024-11-14,2024-11-14,stop,stop,4,4,-37.222439756165784,-37.222439756165784,0.0,0.0,False,0.0
AVGO,2025-10-29,2025-10-30,2025-10-30,2025-11-04,2025-11-04,stop,stop,1,1,-33.12433329838598,-33.12433329838598,0.0,0.0,False,0.0
KLAC,2025-06-09,2025-06-10,2025-06-10,2025-07-11,2025-07-11,signal,signal,6,6,54.24661808918347,54.24661808918347,0.0,0.0,False,0.0
GLW,2025-08-28,2025-08-29,2025-08-29,2025-09-30,2025-09-30,signal,signal,7,7,79.70207905555628,79.70207905555628,0.0,0.0,True,0.0
CEG,2025-07-30,2025-07-31,2025-07-31,2025-08-12,2025-08-12,signal,signal,1,1,-18.996912473167754,-18.996912473167754,0.0,0.0,False,0.0
LITE,2024-11-06,2024-11-07,2024-11-07,2024-12-09,2024-12-09,signal,signal,6,6,118.86128536987303,118.86128536987303,0.0,0.0,True,0.0
META,2026-07-09,2026-07-10,2026-07-10,2026-07-23,2026-07-23,stop,stop,1,1,-55.48814968811769,-55.48814968811769,0.0,0.0,False,0.0
MRVL,2024-11-06,2024-11-07,2024-11-07,2024-12-09,2024-12-09,signal,signal,5,5,96.52956811861736,96.52956811861736,0.0,0.0,True,0.0
META,2025-01-24,2025-01-27,2025-01-27,2025-02-21,2025-02-21,signal,signal,1,1,66.30917244769319,66.30917244769319,0.0,0.0,True,0.0
LITE,2025-07-15,2025-07-16,2025-07-16,2025-08-14,2025-08-14,signal,signal,5,5,92.97294544219983,92.97294544219983,0.0,0.0,True,0.0
NOK,2024-10-18,2024-10-21,2024-10-21,2024-11-07,2024-11-07,signal,signal,104,104,-15.826763502424967,-15.826763502424967,0.0,0.0,False,0.0
MU,2025-06-03,2025-06-04,2025-06-04,2025-07-07,2025-07-07,signal,signal,4,4,72.57155318913652,72.57155318913652,0.0,0.0,True,0.0
TER,2024-12-13,2024-12-16,2024-12-16,2025-01-17,2025-01-17,signal,signal,3,3,33.25456143526935,33.25456143526935,0.0,0.0,False,0.0
TER,2026-01-05,2026-01-06,2026-01-06,2026-02-05,2026-02-05,signal,signal,2,2,86.49623684090449,86.49623684090449,0.0,0.0,True,0.0
TSLA,2025-12-12,2025-12-15,2025-12-15,2025-12-30,2025-12-30,signal,signal,1,1,-11.280536102294889,-11.280536102294889,0.0,0.0,False,0.0
TTMI,2024-10-16,2024-10-17,2024-10-17,2024-10-22,2024-10-22,signal,signal,23,23,-25.90942002105703,-25.90942002105703,0.0,0.0,False,0.0
WDC,2025-06-05,2025-06-06,2025-06-06,2025-07-09,2025-07-09,signal,signal,8,8,64.29827404070573,64.29827404070573,0.0,0.0,True,0.0
WDC,2025-07-23,2025-07-24,2025-07-24,2025-08-22,2025-08-22,signal,signal,7,7,35.94932319613224,35.94932319613224,0.0,0.0,False,0.0
