target_trades,expected_sessions,median_completion_sessions,p80_completion_sessions,expected_years_252,probability_within_126_sessions
10,286.52173913043475,278,359,1.136991028295376,0.014839230080194384
11,315.17391304347825,306,392,1.2506901311249137,0.005665935399689604
20,573.0434782608695,564,678,2.273982056590752,4.66685732484127e-08
22,630.3478260869565,621,740,2.5013802622498273,1.9110204035450575e-09
27,773.6086956521739,765,896,3.0698757763975153,3.116170989663796e-13
32,916.8695652173913,908,1050,3.6383712905452033,2.063557741344821e-17
37,1060.1304347826085,1051,1204,4.206866804692891,6.361015497450178e-22
42,1203.391304347826,1194,1357,4.775362318840579,1.0096066380816247e-26
43,1232.0434782608695,1223,1387,4.889061421670117,1.0298706297185725e-27
48,1375.3043478260868,1366,1539,5.457556935817805,8.151286290444483e-33
59,1690.478260869565,1681,1873,6.708247066942718,8.525371956787695e-45
69,1976.9999999999998,1968,2175,7.845238095238094,1.8479795256119938e-56
80,2292.173913043478,2283,2505,9.095928226363007,5.208268825392059e-70
84,2406.782608695652,2398,2625,9.550724637681158,4.194881898095254e-75
88,2521.391304347826,2512,2745,10.00552104899931,2.796344455197918e-80
