trigger_date,symbol,review_state,observation_class,policy,documented_shares,action_shares,execution_date,raw_open,net_sell_price,horizon,horizon_date,horizon_close,mature,gross_benefit_vs_hold,net_benefit_vs_hold,beneficial,real_order_assumed
2026-08-14,GLW,reduce-review,retrospective_seed,full_exit,2,2,2026-08-17,169.74000549316406,169.5702654876709,1,2026-08-17,173.2100067138672,True,-6.94000244140625,-8.279482452392585,False,False
2026-08-14,GLW,reduce-review,retrospective_seed,full_exit,2,2,2026-08-17,169.74000549316406,169.5702654876709,5,,,False,,,,False
2026-08-14,GLW,reduce-review,retrospective_seed,full_exit,2,2,2026-08-17,169.74000549316406,169.5702654876709,20,,,False,,,,False
2026-08-14,GLW,reduce-review,retrospective_seed,full_exit,2,2,2026-08-17,169.74000549316406,169.5702654876709,as_of,2026-08-20,151.4499969482422,True,36.58001708984375,35.240537078857415,True,False
2026-08-14,GLW,reduce-review,retrospective_seed,half_exit,2,1,2026-08-17,169.74000549316406,169.5702654876709,1,2026-08-17,173.2100067138672,True,-3.470001220703125,-4.639741226196293,False,False
2026-08-14,GLW,reduce-review,retrospective_seed,half_exit,2,1,2026-08-17,169.74000549316406,169.5702654876709,5,,,False,,,,False
2026-08-14,GLW,reduce-review,retrospective_seed,half_exit,2,1,2026-08-17,169.74000549316406,169.5702654876709,20,,,False,,,,False
2026-08-14,GLW,reduce-review,retrospective_seed,half_exit,2,1,2026-08-17,169.74000549316406,169.5702654876709,as_of,2026-08-20,151.4499969482422,True,18.290008544921875,17.120268539428707,True,False
2026-08-14,MRVL,profit-protection,retrospective_seed,full_exit,4,4,2026-08-17,227.75,227.52225,1,2026-08-17,234.3300018310547,True,-26.32000732421875,-28.231007324218695,False,False
2026-08-14,MRVL,profit-protection,retrospective_seed,full_exit,4,4,2026-08-17,227.75,227.52225,5,,,False,,,,False
2026-08-14,MRVL,profit-protection,retrospective_seed,full_exit,4,4,2026-08-17,227.75,227.52225,20,,,False,,,,False
2026-08-14,MRVL,profit-protection,retrospective_seed,full_exit,4,4,2026-08-17,227.75,227.52225,as_of,2026-08-20,251.00999450683597,True,-93.03997802734386,-94.95097802734381,False,False
2026-08-14,MRVL,profit-protection,retrospective_seed,half_exit,4,2,2026-08-17,227.75,227.52225,1,2026-08-17,234.3300018310547,True,-13.160003662109375,-14.615503662109347,False,False
2026-08-14,MRVL,profit-protection,retrospective_seed,half_exit,4,2,2026-08-17,227.75,227.52225,5,,,False,,,,False
2026-08-14,MRVL,profit-protection,retrospective_seed,half_exit,4,2,2026-08-17,227.75,227.52225,20,,,False,,,,False
2026-08-14,MRVL,profit-protection,retrospective_seed,half_exit,4,2,2026-08-17,227.75,227.52225,as_of,2026-08-20,251.00999450683597,True,-46.51998901367193,-47.975489013671904,False,False
2026-08-18,MXL,reduce-review,retrospective_seed,full_exit,6,6,2026-08-19,74.44999694824219,74.37554695129394,1,2026-08-19,66.43000030517578,True,48.11997985839844,46.67327987670896,True,False
2026-08-18,MXL,reduce-review,retrospective_seed,full_exit,6,6,2026-08-19,74.44999694824219,74.37554695129394,5,,,False,,,,False
2026-08-18,MXL,reduce-review,retrospective_seed,full_exit,6,6,2026-08-19,74.44999694824219,74.37554695129394,20,,,False,,,,False
2026-08-18,MXL,reduce-review,retrospective_seed,full_exit,6,6,2026-08-19,74.44999694824219,74.37554695129394,as_of,2026-08-20,65.27999877929688,True,55.019989013671875,53.5732890319824,True,False
2026-08-18,MXL,reduce-review,retrospective_seed,half_exit,6,3,2026-08-19,74.44999694824219,74.37554695129394,1,2026-08-19,66.43000030517578,True,24.05998992919922,22.83663993835448,True,False
2026-08-18,MXL,reduce-review,retrospective_seed,half_exit,6,3,2026-08-19,74.44999694824219,74.37554695129394,5,,,False,,,,False
2026-08-18,MXL,reduce-review,retrospective_seed,half_exit,6,3,2026-08-19,74.44999694824219,74.37554695129394,20,,,False,,,,False
2026-08-18,MXL,reduce-review,retrospective_seed,half_exit,6,3,2026-08-19,74.44999694824219,74.37554695129394,as_of,2026-08-20,65.27999877929688,True,27.509994506835938,26.2866445159912,True,False
