period,variant,final_value,total_return,cagr,max_drawdown,volatility,sharpe,sortino,trade_count,win_rate,average_win,average_loss,profit_factor,exception_trade_count,exception_win_rate,exception_average_return,exposure,turnover,costs
2024,matched_baseline,6046.63383016949,0.0077723050282483275,0.007799099448458913,-0.02181645504468721,0.033162013650609855,0.24990634660160668,0.23435200997337874,7,0.2857142857142857,0.24050474597377902,-0.07631017206671167,1.2763371221672883,0,,,0.023160701607845793,1.041821941050544,20.250998531131966
2024,risk_filter,6127.70533809874,0.021284223016456716,0.021358089499258215,-0.014288715170426514,0.03164134562944429,0.681300974536057,0.7528322446613552,6,0.3333333333333333,0.24050474597377902,-0.049133482151132654,2.4564017504043707,0,,,0.0225842112556623,0.9092724379359779,17.455779788733757
2025,matched_baseline,6344.404466632811,0.05740074443880183,0.057766618801734504,-0.03306817987495303,0.058609188313064865,0.9893610732421828,0.9789172691875658,29,0.4827586206896552,0.12249191558784608,-0.06217966181194276,1.859795078594864,0,,,0.10876044125442982,4.219204833641811,83.31565672197421
2025,risk_filter,6742.513909855456,0.12375231830924283,0.12456528973581804,-0.019357537633755362,0.03949984099911675,2.997748098584383,4.353664898569312,15,0.7333333333333333,0.1661366764488545,-0.06245368994947735,8.456390869261092,0,,,0.08020989800174476,2.4085455495707166,44.452060263394436
2026,matched_baseline,5869.116645082542,-0.02181389248624299,-0.03644247568536341,-0.03893182794030525,0.04190331913535218,-0.8631404703910802,-0.6522961668270303,9,0.2222222222222222,0.10536666948789804,-0.07414943790011763,0.41502885144243934,0,,,0.0442934197774852,1.2932969756660735,25.759676730318255
2026,risk_filter,6036.8819442205195,0.006146990703419952,0.010368201077460615,-0.018922207487740872,0.0340580475940666,0.3193661683334451,0.21464714494474607,4,0.5,0.10536666948789804,-0.04244307387536896,1.6588653842247734,0,,,0.036434223706389074,0.6645118988309219,11.987120262050013
train_2024_2025,matched_baseline,6378.572490682519,0.06309541511375305,0.0311300896035398,-0.05323371311955594,0.049541143922059445,0.6447720990262337,0.5387011809445601,37,0.4594594594594595,0.1342783063593811,-0.06870293003538913,1.6139069993345203,0,,,0.06686682217341906,5.496988196554632,106.9824147342332
train_2024_2025,risk_filter,7028.846748961102,0.1714744581601837,0.08252298099041666,-0.01906404624243474,0.03663281908348243,2.187268173407402,2.8476740603101134,20,0.7,0.17128867938010695,-0.056352887941070136,8.225728005018157,0,,,0.05262848090644961,3.2873133784328172,59.724968842314716
full,matched_baseline,6354.538168036535,0.05908969467275593,0.022365549843659682,-0.05323371311955594,0.04807732030493423,0.4855883204836664,0.40852370088916934,45,0.4444444444444444,0.1362391561810304,-0.073244656904582,1.4350218506193946,0,,,0.06209568003016553,6.649201613223726,129.8956941132045
full,risk_filter,7068.768281625889,0.17812804693764828,0.06519565670320215,-0.023264548820919773,0.036096214557671626,1.7734446039927196,1.7724741313185683,24,0.6666666666666666,0.16312506989848827,-0.05279763564500674,6.394744710393283,0,,,0.04859510972976725,4.02334581676183,72.14121581006843
