period,group,events,mean_forward_20d,median_forward_20d,positive_20d_rate,close_stop_8pct_rate,winner_10pct_rate
development_2006_2014,baseline,15563,0.007417154593382643,0.009120397914418765,0.5651224057058408,0.14226048962282337,0.09278416757694533
development_2006_2014,rv40,14482,0.00682184187395532,0.008859502442880252,0.5642867007319431,0.1311282971965198,0.08092804861207016
development_2006_2014,rv_percentile_60,9625,0.006863807209774503,0.009256583634341231,0.5711168831168831,0.1041038961038961,0.056935064935064936
development_2006_2014,dual_rv40_p60,9602,0.007056477497211,0.00938867246026387,0.5717558841907936,0.10299937513018122,0.05696729847948344
development_2006_2014,rejected_by_dual,5961,0.007998134542626077,0.008812826698230358,0.5544371749706425,0.2055024324777722,0.15047810770005032
validation_2015_2019,baseline,14627,0.004277894512778115,0.0061198245568899745,0.54631845217748,0.1184795241676352,0.060162712791413143
validation_2015_2019,rv40,14124,0.00430138058264366,0.006126984820051362,0.5475785896346644,0.11554800339847068,0.05720758991787029
validation_2015_2019,rv_percentile_60,10463,0.004520211020772105,0.006507498302245951,0.553856446525853,0.09796425499378764,0.041383924304692725
validation_2015_2019,dual_rv40_p60,10463,0.004520211020772105,0.006507498302245951,0.553856446525853,0.09796425499378764,0.041383924304692725
validation_2015_2019,rejected_by_dual,4164,0.0036689294264783895,0.004560675084104293,0.5273775216138329,0.17002881844380405,0.10734870317002881
final_2020_2025,baseline,14282,0.004405947394188786,0.007491458836627274,0.5455118330765999,0.19626102786724547,0.13786584511973113
final_2020_2025,rv40,12682,0.0035819789957027446,0.007334389290257093,0.54494559217789,0.1826210376912159,0.1213530988803028
final_2020_2025,rv_percentile_60,9521,0.0033043135198208002,0.007539507874815055,0.5495221090221616,0.158491755067745,0.10209011658439239
final_2020_2025,dual_rv40_p60,9460,0.0030644280554227507,0.007401270828760298,0.5482029598308668,0.15898520084566597,0.10095137420718817
final_2020_2025,rejected_by_dual,4822,0.0070377957858782664,0.007867543854824577,0.540232268768146,0.26939029448361673,0.21028618830360846
