variant,missing_mode,period,total_return,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,daily_es_5,annual_turnover,average_exposure
baseline,zero_return,development_2006_2014,-0.3290068563381152,-0.04342075826357239,0.17937956152772205,-0.15719329844891244,-0.2258983128708375,-0.6059464688579967,-0.07165774617913984,0.3611111111111111,-0.030419963105568788,38.595496688741726,0.5920529801324503
baseline_mapped_25pct,zero_return,development_2006_2014,-0.06985261243221574,-0.008024093082807049,0.04484489038193051,-0.15719329844891244,-0.2258983128708375,-0.19756389585094614,-0.04061517944989756,0.3611111111111111,-0.007604990776392197,9.648874172185431,0.14801324503311258
baseline,zero_return,validation_2015_2019,-0.19406172629893015,-0.04229762727960695,0.1622934409405949,-0.18474618701061024,-0.2729688050544771,-0.37551413725056426,-0.11263924066694614,0.43333333333333335,-0.02650052634287369,45.43211446740859,0.7782193958664547
baseline_mapped_25pct,zero_return,validation_2015_2019,-0.04068290340597969,-0.00828541249913406,0.04057336023514872,-0.18474618701061024,-0.2729688050544771,-0.10870725865093767,-0.07621765650202598,0.45,-0.006625131585718423,11.358028616852147,0.19455484896661368
baseline,zero_return,final_2020_2025,0.3704488510445685,0.05411053449525993,0.2482106957182841,0.3373848722312113,0.5110550755612145,-0.35039553930786593,0.15442700726768419,0.375,-0.03946960211062303,46.620836098208365,0.7199734571997346
baseline_mapped_25pct,zero_return,final_2020_2025,0.12037288357679721,0.019188217889173798,0.06205267392957103,0.3373848722312113,0.5110550755612145,-0.0938500672183118,0.20445609105999488,0.375,-0.009867400527655758,11.655209024552091,0.17999336429993365
baseline,zero_return,full_2006_2025,-0.2588899642165803,-0.014898000465253136,0.19885997589643903,0.024607922869531583,0.03630574257256497,-0.6495798817303351,-0.02293482431378294,0.38333333333333336,-0.032639882696984444,42.70974155069583,0.6769383697813122
baseline_mapped_25pct,zero_return,full_2006_2025,-0.0002842274429557534,-1.424154799056776e-05,0.04971499397410976,0.024607922869531583,0.03630574257256497,-0.20632837937754134,-6.902369918055946e-05,0.3875,-0.008159970674246111,10.677435387673958,0.16923459244532804
baseline,minus_100pct,development_2006_2014,-0.3290068563381152,-0.04342075826357239,0.17937956152772205,-0.15719329844891244,-0.2258983128708375,-0.6059464688579967,-0.07165774617913984,0.3611111111111111,-0.030419963105568788,38.595496688741726,0.5920529801324503
baseline_mapped_25pct,minus_100pct,development_2006_2014,-0.06985261243221574,-0.008024093082807049,0.04484489038193051,-0.15719329844891244,-0.2258983128708375,-0.19756389585094614,-0.04061517944989756,0.3611111111111111,-0.007604990776392197,9.648874172185431,0.14801324503311258
baseline,minus_100pct,validation_2015_2019,-0.19406172629893015,-0.04229762727960695,0.1622934409405949,-0.18474618701061024,-0.2729688050544771,-0.37551413725056426,-0.11263924066694614,0.43333333333333335,-0.02650052634287369,45.43211446740859,0.7782193958664547
baseline_mapped_25pct,minus_100pct,validation_2015_2019,-0.04068290340597969,-0.00828541249913406,0.04057336023514872,-0.18474618701061024,-0.2729688050544771,-0.10870725865093767,-0.07621765650202598,0.45,-0.006625131585718423,11.358028616852147,0.19455484896661368
baseline,minus_100pct,final_2020_2025,0.3704488510445685,0.05411053449525993,0.2482106957182841,0.3373848722312113,0.5110550755612145,-0.35039553930786593,0.15442700726768419,0.375,-0.03946960211062303,46.620836098208365,0.7199734571997346
baseline_mapped_25pct,minus_100pct,final_2020_2025,0.12037288357679721,0.019188217889173798,0.06205267392957103,0.3373848722312113,0.5110550755612145,-0.0938500672183118,0.20445609105999488,0.375,-0.009867400527655758,11.655209024552091,0.17999336429993365
baseline,minus_100pct,full_2006_2025,-0.2588899642165803,-0.014898000465253136,0.19885997589643903,0.024607922869531583,0.03630574257256497,-0.6495798817303351,-0.02293482431378294,0.38333333333333336,-0.032639882696984444,42.70974155069583,0.6769383697813122
baseline_mapped_25pct,minus_100pct,full_2006_2025,-0.0002842274429557534,-1.424154799056776e-05,0.04971499397410976,0.024607922869531583,0.03630574257256497,-0.20632837937754134,-6.902369918055946e-05,0.3875,-0.008159970674246111,10.677435387673958,0.16923459244532804
rv40,zero_return,development_2006_2014,-0.12078675482047951,-0.014219962136652109,0.1607794732672867,-0.008318346279275895,-0.012069692750816922,-0.46491400172357733,-0.030586220427722962,0.35185185185185186,-0.027025352386797253,37.894569536423845,0.5920529801324503
rv40_mapped_25pct,zero_return,development_2006_2014,-0.01022109770162849,-0.0011423802469948674,0.040194868316821675,-0.008318346279275895,-0.012069692750816922,-0.13939299341197497,-0.008195392171675165,0.37962962962962965,-0.006756338096699313,9.473642384105961,0.14801324503311258
rv40,zero_return,validation_2015_2019,-0.2577118244017661,-0.057951298932682804,0.1560115946803701,-0.30420614629931775,-0.4477157041177607,-0.36549957596095395,-0.15855366939980717,0.4166666666666667,-0.025670115091185393,44.95135135135135,0.7782193958664547
