window,baseline_cagr,candidate_cagr,baseline_max_drawdown,candidate_max_drawdown,baseline_sharpe,candidate_sharpe,baseline_monthly_win_rate,candidate_monthly_win_rate
2008-2010,-0.028304146903612937,-0.038671137778462206,-0.30908161286156954,-0.28023766963325936,-0.05822461203218306,-0.1254089003705489,0.3333333333333333,0.3055555555555556
2009-2011,-0.1749122577654646,-0.15109545598212126,-0.5641167597913859,-0.50232892280176,-0.7713026496492027,-0.6792866544064278,0.3611111111111111,0.3333333333333333
2010-2012,-0.19799450144173913,-0.13728633642215915,-0.595206199998646,-0.5235975210187593,-1.0825032238623882,-0.7212307059496489,0.3611111111111111,0.3333333333333333
2011-2013,-0.1293302517623609,-0.08684571808098651,-0.4965864573842501,-0.4375622242140662,-0.6276287755162027,-0.4027698156976545,0.3611111111111111,0.3055555555555556
2012-2014,0.04353473041854761,0.09060504329644847,-0.20088120484687588,-0.1792834837843419,0.32676467697097805,0.5800732092799769,0.5,0.4444444444444444
2013-2015,0.027294756876210524,0.033040181592297824,-0.17062172076979876,-0.16396899693674727,0.2399598436543194,0.2728794481625141,0.5,0.4444444444444444
2014-2016,-0.06447747190803865,-0.046094769296416205,-0.2546684058981845,-0.2686011369347516,-0.3690310748850008,-0.24731091800577368,0.4166666666666667,0.4166666666666667
2015-2017,-0.009390063273556848,-0.03656381955858534,-0.25678586492648126,-0.30159182844017773,0.016706029729732567,-0.16968073893889102,0.4444444444444444,0.4444444444444444
2016-2018,0.01398533058371787,-0.025554613793025704,-0.18811009602918005,-0.2063305148685488,0.16704082766896106,-0.08032467997288893,0.4722222222222222,0.4444444444444444
2017-2019,-0.014806027099103947,-0.038771121276642284,-0.3755141372505645,-0.3346063385120458,0.0021012688999530664,-0.14874984209669892,0.4722222222222222,0.4444444444444444
2018-2020,0.05631558933252068,0.018113202199756984,-0.37551413725056493,-0.3346063385120456,0.36078001817258976,0.19141963790508612,0.4444444444444444,0.4166666666666667
2019-2021,0.06165892024137176,0.0819840685297375,-0.3168436879186849,-0.2875576279417632,0.36298284114910867,0.44263886146319564,0.4444444444444444,0.4444444444444444
2020-2022,0.09891607717298023,0.10989058900736914,-0.240936931024053,-0.22036504726845085,0.5146616842581584,0.5633635787779636,0.3333333333333333,0.3333333333333333
2021-2023,-0.019642575741927626,0.02091147955312178,-0.31213463771345573,-0.30829905630624366,0.009546771752379165,0.20349767559673915,0.3055555555555556,0.3055555555555556
2022-2024,-0.056671818248315575,-0.02289081283054073,-0.26979968119889064,-0.21158611308053266,-0.19596932870159728,-0.029919949189834875,0.25,0.25
2023-2025,0.010851635220100686,0.04840205173320311,-0.23488492385133808,-0.18911948288104186,0.17200298716667464,0.31573439064273906,0.4166666666666667,0.4166666666666667
