symbol,signal_date,entry_date,entry_price,shares,entry_type,smh_healthy_on_signal,rs20_on_signal,volume_ratio_on_signal,entry_gap,profit_lock_date,profit_lock_stop,exit_date,exit_price,exit_reason,pnl,return,holding_sessions,pre_exit_mfe,pre_exit_mae,pre_exit_peak_close,mfe_giveback
TTMI,2024-10-16,2024-10-17,20.290270458221432,23,normal,True,0.05925821792471986,1.6277370613357838,0.006954858561044164,,,2024-10-22,19.25073045730591,signal,-25.90942002105703,-0.05540033656445286,3,0.019207720653937166,-0.053733620629990764,0.010336458659356396,0.07460805721839003
NOK,2024-10-18,2024-10-21,4.59639241140037,104,normal,True,0.05260410827980411,2.684802454304195,8.666088580078224e-08,,,2024-11-07,4.463442289010513,signal,-15.826812728545121,-0.033039651333691675,13,0.048286166237008876,-0.030070599507715623,0.048286166237008876,0.08132581757070055
MRVL,2024-11-06,2024-11-07,91.39130630876161,5,normal,True,0.24659654127131214,1.4018545821037263,0.01202702133532374,,,2024-12-09,111.09721993248507,signal,96.52956811861736,0.21078325445694263,21,0.3057154910721285,-0.04848749792494278,0.2868726292712458,0.09493223661518585
LITE,2024-11-06,2024-11-07,73.14306969451904,6,normal,True,0.06471914158678838,3.1480530386243246,0.015284124711181235,,,2024-12-09,93.28661725616453,signal,118.86128536987303,0.2702262374906154,21,0.3114024140571867,-0.014670836268924514,0.2974571879773076,0.0411761765665713
COHR,2024-11-07,2024-11-08,108.81870908355712,4,normal,True,0.08020589339469852,2.759879486104097,-0.0067610587885121864,,,2024-11-14,100.01309914451568,stop,-37.222439756165784,-0.08531878682008104,4,0.02611034998008055,-0.08000000000000007,0.011039347641836672,0.11142913680016159
TER,2024-12-13,2024-12-16,127.39127579622715,3,normal,True,0.1527838396047143,1.7190458489036131,0.038143111228213566,,,2025-01-17,139.14279627465027,signal,33.25456143526935,0.08678714217486676,21,0.12582855584071484,-0.03989059724551336,0.09334075747386761,0.03904141366584808
META,2025-01-24,2025-01-27,624.1515457688685,1,normal,True,0.03002585423898596,1.7203991551993993,-0.03224775320573425,,,2025-02-21,692.4608383688153,signal,66.30929259994684,0.10606914923067753,18,0.18122897273608785,-0.003406401614415966,0.17446917803700246,0.07515982350541031
INTC,2025-02-12,2025-02-13,22.862840152740475,21,normal,True,0.15832514102223438,2.0477640622514173,0.016014262352415987,,,2025-03-04,21.012779127580714,stop,-40.851281528355,-0.0849087791469204,12,0.20501210930078795,-0.07999999999999996,0.19801386033682755,0.28992088844770836
MU,2025-06-03,2025-06-04,102.22193788042377,4,normal,True,0.12816598934854562,1.2734538019346675,0.0012713738545049313,,,2025-07-07,120.8648261777079,signal,72.57155318913652,0.1770522610634667,21,0.26704708558566037,-0.007634291118320702,0.24811699616340221,0.08999482452219368
WDC,2025-06-05,2025-06-06,55.81465130784074,8,normal,True,0.10281018658558994,1.777675254352524,0.01562220111287016,,,2025-07-09,64.10193556292896,signal,64.29827404070573,0.14367776822308645,21,0.19411976468894787,-0.02440612354346572,0.18071875018979022,0.05044199646586142
KLAC,2025-06-09,2025-06-10,82.48033538898751,6,normal,True,0.03529567925839605,1.3094071376298344,4.2374546094237076e-08,,,2025-07-11,91.86536976047829,signal,54.310206228944594,0.10952243654357904,21,0.12293501100946291,-0.004046735854601136,0.1186584768337362,0.01341257446588387
LITE,2025-07-15,2025-07-16,98.1980984725952,5,normal,True,0.05851907338361295,1.6159170396458533,-0.0004075903380489354,,,2025-08-14,117.19268756103517,signal,92.97294544219983,0.18897305310852863,21,0.32365084201516847,-0.030734792367305364,0.22436182804992888,0.13467778890663984
WDC,2025-07-23,2025-07-24,69.0819847411973,7,normal,True,0.06130543969938462,1.2523827595460186,-0.0017311720198082137,,,2025-08-22,74.50330922145352,signal,35.949271361793535,0.07418738786205725,21,0.13759077773206108,-0.03983290995860167,0.136002761551419,0.06340338987000382
CEG,2025-07-30,2025-07-31,348.00002547256435,1,normal,True,0.04726915449153046,1.3536050591358055,0.012193366427526664,,,2025-08-12,330.9769778783613,signal,-19.023047594203035,-0.054507295718517014,8,0.020497164223423958,-0.0795516436114514,0.014465696246330095,0.07500445994194097
GLW,2025-08-28,2025-08-29,67.96451310413542,7,normal,True,0.05499997085732633,1.4241604990411723,-0.004224266504745833,,,2025-09-30,79.6362386835006,signal,79.70207905555628,0.16717737379022754,21,0.1921958424672856,-0.03344166225665146,0.18371973386320573,0.025018468677058064
NOK,2025-09-04,2025-09-05,4.54453996181488,114,normal,True,0.10520080259704767,2.853243812887454,-0.013043466092057199,,,2025-09-30,4.705290038108826,signal,16.325508697509918,0.03145100095334383,17,0.07381608599433931,-0.014201644893363174,0.06721471158451475,0.04236508504099548
MU,2025-09-05,2025-09-08,130.47115444503285,3,normal,True,0.16688975317568056,1.5987176951819895,-0.006241799689386984,,,2025-10-07,194.4649377694192,signal,189.98134997315913,0.48413565721858526,21,0.5390648938151583,-0.017451404245042323,0.4621882709254721,0.05492923659657306
