symbol,signal_date,entry_date,entry_price,shares,entry_type,smh_healthy_on_signal,rs20_on_signal,volume_ratio_on_signal,exit_date,exit_price,exit_reason,pnl,return
ORCL,2024-11-07,2024-11-08,182.84641185217887,2,normal,True,0.0374674246629807,1.3750219293970878,2024-11-29,180.27669998547094,signal,-7.1394237334158674,-0.019469766714529307
MU,2024-12-16,2024-12-17,109.2960658270808,4,normal,True,0.06830033600829255,2.5170384111420283,2024-12-19,89.52818884476821,stop,-81.07150792925034,-0.18501693172902775
NOK,2025-01-07,2025-01-08,4.491866020520948,105,normal,True,0.06561093614383706,1.2942156706464853,2025-01-13,4.307853710055656,signal,-21.321292598855734,-0.045110496353276894
META,2025-01-24,2025-01-27,624.1515457688685,1,normal,True,0.03002585423898596,1.7203991551993993,2025-02-21,692.4608383688153,signal,66.30929259994684,0.10606914923067753
KO,2025-02-11,2025-02-12,64.16035428141562,7,normal,True,0.07513403853430178,1.9818299910429533,2025-03-13,67.26872215531374,signal,19.758575117286796,0.04389599719304767
LITE,2025-06-04,2025-06-05,82.09201213836668,5,normal,True,0.07847105993058001,1.899294338112574,2025-07-09,91.36853908538818,signal,44.3826347351075,0.10786620373428725
KLAC,2025-06-09,2025-06-10,82.48033538898751,5,normal,True,0.03529567925839605,1.3094071376298344,2025-07-11,91.86536976047829,signal,44.925171857453904,0.10867196328145919
TER,2025-06-24,2025-06-25,90.51893375840807,5,normal,True,0.030585844034421994,1.932001929255193,2025-06-26,90.72669499969484,signal,-0.9611937935661672,-0.002119058841952232
LITE,2025-07-15,2025-07-16,98.1980984725952,4,normal,True,0.05851907338361295,1.6159170396458533,2025-08-28,128.12175,signal,117.69460610961914,0.29887475719599993
WDC,2025-07-23,2025-07-24,69.0819847411973,7,normal,True,0.06130543969938462,1.2523827595460186,2025-09-08,92.30493055032012,signal,160.5606206638597,0.3313439351992509
CEG,2025-07-30,2025-07-31,348.00002547256435,1,normal,True,0.04726915449153046,1.3536050591358055,2025-08-12,330.9769778783613,signal,-19.023047594203035,-0.054507295718517014
GLW,2025-08-28,2025-08-29,67.96451310413542,7,normal,True,0.05499997085732633,1.4241604990411723,2025-10-14,83.62498730911429,signal,107.62331943485208,0.22574296825009907
ASML,2025-09-05,2025-09-08,785.2674282214342,1,normal,True,0.0887493155885366,1.4306994303128162,2025-10-13,964.4061010730452,signal,177.13867285161098,0.22529061550000254
TSLA,2025-12-12,2025-12-15,469.90944244384764,1,normal,True,0.11474936654233336,1.2301213960546282,2025-12-30,460.62890634155275,signal,-11.280536102294889,-0.02395478851252809
NOK,2026-01-07,2026-01-08,6.6065999045372,79,normal,True,0.056125725755374445,2.6934114686525947,2026-01-12,6.443549809455871,signal,-14.880957511425038,-0.028457350810347195
KO,2026-02-03,2026-02-04,76.3262684597047,6,normal,True,0.07852798969542074,1.4327351203154584,2026-03-05,76.57796570468027,signal,-0.4898165301466406,-0.0010672369706157207
AVGO,2026-08-04,2026-08-05,422.1217122192383,1,exception,False,0.13765653878601825,1.461569663983136,2026-08-07,427.3322497558594,terminal,3.210537536621075,0.007587739990420421
