symbol,signal_date,entry_date,entry_price,shares,entry_type,smh_healthy_on_signal,rs20_on_signal,volume_ratio_on_signal,exit_date,exit_price,exit_reason,pnl,return
TTMI,2024-10-16,2024-10-17,20.290270458221432,23,normal,True,0.05925821792471986,1.6277370613357838,2024-10-22,19.25073045730591,signal,-25.90942002105703,-0.05540033656445286
NOK,2024-10-18,2024-10-21,4.59639241140037,104,normal,True,0.05260410827980411,2.684802454304195,2024-11-07,4.463442289010513,signal,-15.826812728545121,-0.033039651333691675
MRVL,2024-11-06,2024-11-07,91.39130630876161,5,normal,True,0.24659654127131214,1.4018545821037263,2024-12-09,111.09721993248507,signal,96.52956811861736,0.21078325445694263
LITE,2024-11-06,2024-11-07,73.14306969451904,6,normal,True,0.06471914158678838,3.1480530386243246,2024-12-09,93.28661725616453,signal,118.86128536987303,0.2702262374906154
COHR,2024-11-07,2024-11-08,108.81870908355712,4,normal,True,0.08020589339469852,2.759879486104097,2024-11-14,100.01309914451568,stop,-37.222439756165784,-0.08531878682008104
TER,2024-12-13,2024-12-16,127.39127579622715,3,normal,True,0.1527838396047143,1.7190458489036131,2025-01-17,139.14279627465027,signal,33.25456143526935,0.08678714217486676
META,2025-01-24,2025-01-27,624.1515457688685,1,normal,True,0.03002585423898596,1.7203991551993993,2025-02-21,692.4608383688153,signal,66.30929259994684,0.10606914923067753
KO,2025-02-11,2025-02-12,64.16035428141562,7,normal,True,0.07513403853430178,1.9818299910429533,2025-03-13,67.26872215531374,signal,19.758575117286796,0.04389599719304767
MU,2025-06-03,2025-06-04,102.22193788042377,4,normal,True,0.12816598934854562,1.2734538019346675,2025-07-07,120.8648261777079,signal,72.57155318913652,0.1770522610634667
WDC,2025-06-05,2025-06-06,55.81465130784074,8,normal,True,0.10281018658558994,1.777675254352524,2025-07-09,64.10193556292896,signal,64.29827404070573,0.14367776822308645
KLAC,2025-06-09,2025-06-10,82.48033538898751,6,normal,True,0.03529567925839605,1.3094071376298344,2025-07-11,91.86536976047829,signal,54.310206228944594,0.10952243654357904
LITE,2025-07-15,2025-07-16,98.1980984725952,5,normal,True,0.05851907338361295,1.6159170396458533,2025-08-14,117.19268756103517,signal,92.97294544219983,0.18897305310852863
WDC,2025-07-23,2025-07-24,69.0819847411973,7,normal,True,0.06130543969938462,1.2523827595460186,2025-08-22,74.50330922145352,signal,35.949271361793535,0.07418738786205725
CEG,2025-07-30,2025-07-31,348.00002547256435,1,normal,True,0.04726915449153046,1.3536050591358055,2025-08-12,330.9769778783613,signal,-19.023047594203035,-0.054507295718517014
GLW,2025-08-28,2025-08-29,67.96451310413542,7,normal,True,0.05499997085732633,1.4241604990411723,2025-09-30,79.6362386835006,signal,79.70207905555628,0.16717737379022754
NOK,2025-09-04,2025-09-05,4.54453996181488,115,normal,True,0.10520080259704767,2.853243812887454,2025-09-30,4.705290038108826,signal,16.48625877380391,0.03148503264484785
MU,2025-09-05,2025-09-08,130.47115444503285,4,normal,True,0.16688975317568056,1.5987176951819895,2025-10-07,194.4649377694192,signal,253.97513329754543,0.485719267045526
NOK,2025-10-10,2025-10-13,5.2752699809074395,104,normal,True,0.1105289202279982,1.4798952658858116,2025-11-11,6.8931000952720645,signal,166.25433189392095,0.3024851504940275
AVGO,2025-10-29,2025-10-30,384.63087940227877,1,normal,True,0.0530952160516287,1.2043002456801046,2025-11-04,353.50654864104644,stop,-33.12433076123233,-0.08589646869715016
TSLA,2025-12-12,2025-12-15,469.90944244384764,1,normal,True,0.11474936654233336,1.2301213960546282,2025-12-30,460.62890634155275,signal,-11.280536102294889,-0.02395478851252809
KLAC,2026-01-05,2026-01-06,136.7155558124338,4,normal,True,0.07203422635182255,1.639138641895584,2026-02-02,139.50344701172645,signal,9.151564797170636,0.016704135472029116
TER,2026-01-05,2026-01-06,220.99503965232648,2,normal,True,0.05760035713094691,1.5546998405846684,2026-02-05,265.2431580727787,signal,86.49623684090449,0.19525547158228646
KO,2026-02-03,2026-02-04,76.3262684597047,7,normal,True,0.07852798969542074,1.4327351203154584,2026-03-05,76.57796570468027,signal,-0.23811928517113756,-0.0004448467335108943
META,2026-07-09,2026-07-10,661.0003668823241,1,normal,True,0.05292065914532196,1.4259067324157644,2026-07-23,607.5122171942064,stop,-55.48814968811769,-0.0838189107801222
