variant,dimension,bucket,trades,wins,win_rate,average_return,net_pnl,gross_profit
matched_baseline,year,2024,7,3,0.42857142857142855,0.029860132525024497,88.61523448874146,248.64541492375974
matched_baseline,year,2025,30,14,0.4666666666666667,0.02955980490723904,351.3109904819511,806.6457708096972
matched_baseline,year,2026,7,2,0.2857142857142857,-0.0397745221313743,-116.65393154145823,92.85991043878244
matched_baseline,quarter,2024Q4,7,3,0.42857142857142855,0.029860132525024497,88.61523448874146,248.64541492375974
matched_baseline,quarter,2025Q1,9,1,0.1111111111111111,-0.06260070404984683,-260.8141042039555,10.78565979462644
matched_baseline,quarter,2025Q2,5,4,0.8,0.06751747411872623,146.80240223158222,154.0031476493187
matched_baseline,quarter,2025Q3,7,6,0.8571428571428571,0.1231578057755957,354.19276106485455,375.8204459403428
matched_baseline,quarter,2025Q4,9,3,0.3333333333333333,0.0278342747381102,111.12993138946979,266.03651742540916
matched_baseline,quarter,2026Q1,4,2,0.5,0.009525313337510933,31.361164947505188,92.85991043878244
matched_baseline,quarter,2026Q2,2,0,0.0,-0.11635199874477081,-92.52694680084574,0.0
matched_baseline,quarter,2026Q3,1,0,0.0,-0.0838189107801222,-55.48814968811769,0.0
matched_baseline,smh_buffer_bucket,0-3%,13,6,0.46153846153846156,0.02927095597705626,120.21241185978408,363.403735850983
matched_baseline,smh_buffer_bucket,3-7%,14,6,0.42857142857142855,0.04189931080003478,265.49084431212646,539.6467038474684
matched_baseline,smh_buffer_bucket,>7%,17,7,0.4117647058823529,-0.008807021113499736,-62.43096274267623,245.10065647378775
matched_baseline,vix_bucket,15-20,34,12,0.35294117647058826,0.0031832595210426117,1.90114817015359,706.5405978951183
matched_baseline,vix_bucket,20-25,3,2,0.6666666666666666,0.09475040752432036,147.15907976422466,154.35982518196113
matched_baseline,vix_bucket,<15,7,5,0.7142857142857143,0.0607016248120447,174.21206549485606,287.25067309515987
risk_filter,year,2024,6,3,0.5,0.06567297656736654,169.6867424179918,248.64541492375974
risk_filter,year,2025,14,10,0.7142857142857143,0.10967012634038231,731.1599562680587,835.4391522541441
risk_filter,year,2026,3,2,0.6666666666666666,0.04271356542473113,40.159651949957436,95.64780163807512
risk_filter,quarter,2024Q4,6,3,0.5,0.06567297656736654,169.6867424179918,248.64541492375974
risk_filter,quarter,2025Q1,2,1,0.5,0.010580185041878569,25.45801107159184,66.30929259994684
risk_filter,quarter,2025Q2,3,3,1.0,0.14341748861004408,191.18003345878685,191.18003345878685
risk_filter,quarter,2025Q3,6,5,0.8333333333333334,0.14856952953570424,395.90810693601566,414.9311545302187
risk_filter,quarter,2025Q4,3,1,0.3333333333333333,0.06418391854574589,118.61380480166451,163.01867166519173
risk_filter,quarter,2026Q1,2,2,1.0,0.10597980352715779,95.64780163807512,95.64780163807512
risk_filter,quarter,2026Q3,1,0,0.0,-0.0838189107801222,-55.48814968811769,0.0
risk_filter,smh_buffer_bucket,0-3%,5,3,0.6,0.09870204653746947,187.4296024752885,239.5614201059384
risk_filter,smh_buffer_bucket,3-7%,10,7,0.7,0.10963597361914279,522.8443160095405,620.0686984472604
risk_filter,smh_buffer_bucket,>7%,8,5,0.625,0.05846129444562123,230.73243215117907,320.1022502627802
risk_filter,vix_bucket,15-20,17,9,0.5294117647058824,0.0695978846674554,503.0739442419688,741.7999624219397
risk_filter,vix_bucket,20-25,1,1,1.0,0.3024030128469159,163.01867166519173,163.01867166519173
risk_filter,vix_bucket,<15,5,5,1.0,0.11439865445001747,274.9137347288476,274.9137347288476
