rs20_min,volume_ratio_min,max_extension,max_hold_days,exception_target_weight,stop_loss,repair_rs10_min,breadth_min,breadth_count_min,max_atr_pct,min_close_location,final_value,total_return,cagr,max_drawdown,volatility,sharpe,sortino,trade_count,win_rate,average_win,average_loss,profit_factor,exception_trade_count,exception_win_rate,exception_average_return,exposure,turnover,costs,quality_score
0.03,1.2,0.08,30,0.03,0.08,0.03,0.5,2,1.0,0.0,6597.595891618153,0.09959931526969212,0.048720246777546494,-0.020008967648755815,0.02595329866371294,1.8495935854735766,1.3972756428069617,14,0.5714285714285714,0.180969448698103,-0.05502972297830522,5.244379384388554,0,,,0.040479445159040166,2.2971153906965336,41.78333172340255,0.22724655007195482
0.03,1.5,0.08,30,0.03,0.08,0.03,0.5,2,1.0,0.0,6405.5261603564595,0.06758769339274329,0.03331087753603046,-0.013511917988208388,0.017272006734186527,1.9095883306627068,1.2096357394162744,9,0.6666666666666666,0.17922428422358605,-0.06293979043741686,5.892464904999197,0,,,0.026137539820126413,1.4757900057759967,26.855172415988754,0.2258470849415303
0.03,1.2,0.08,30,0.05,0.08,0.03,0.5,2,1.0,0.0,6601.766928740765,0.10029448812346087,0.0490523799161835,-0.024030811194754143,0.028154717884720397,1.7183525629209615,1.4621885301707576,17,0.5294117647058824,0.1801294161257233,-0.05289879798936376,4.419574031772943,3,0.6666666666666666,0.0613813987113263,0.04335381318893451,2.565874072541838,49.39589559807538,0.2103428188461967
0.03,1.2,0.08,20,0.03,0.08,0.03,0.5,2,1.0,0.0,6479.103973276794,0.07985066221279902,0.03924076581587865,-0.020008967648755815,0.021892925629317675,1.7725624801889297,1.4409578308072593,14,0.5714285714285714,0.1410308600892367,-0.05502972297830522,4.402799543431299,0,,,0.03427065788791206,2.2773667376396407,41.66472119453231,0.21006395858182228
0.03,1.5,0.08,30,0.05,0.08,0.03,0.5,2,1.0,0.0,6413.354368208673,0.06889239470144548,0.03394338970045285,-0.021033028050274627,0.019863935670241813,1.693699086929464,1.2768014229465263,12,0.6666666666666666,0.15812446778114378,-0.05549508197950125,5.471600815427327,4,0.75,0.0821684893217958,0.02890642496964067,1.6968721981671269,34.18168072505169,0.20113011770159528
0.03,1.2,0.08,20,0.05,0.08,0.03,0.5,2,1.0,0.0,6485.075262363546,0.0808458770605911,0.03972053482907101,-0.024030811194754143,0.02444036922901482,1.609136731336455,1.431062753565864,17,0.5294117647058824,0.1454457365504209,-0.05289879798936376,3.7564671493411392,3,0.6666666666666666,0.06383326294239593,0.0362565680827559,2.546425461478968,49.2790871232233,0.19008939060063357
0.05,1.2,0.08,30,0.03,0.08,0.03,0.5,2,1.0,0.0,6459.299197375322,0.07654986622922033,0.03764795047541125,-0.018743278058755752,0.024385027860498013,1.5307506474066572,1.0474172152697525,11,0.5454545454545454,0.20536881652791483,-0.06711892267550265,4.175546129824037,0,,,0.031725725597418576,1.7399186443953838,32.440003605573274,0.18362410345942637
0.05,1.2,0.08,30,0.05,0.08,0.03,0.5,2,1.0,0.0,6497.0097646512395,0.08283496077520658,0.04067876391547953,-0.02452750000328685,0.02670352108313769,1.5095038181558647,1.2024595375679565,14,0.5714285714285714,0.17415263386101004,-0.06145926166387796,4.2233950107641185,3,0.6666666666666666,0.042615738371612276,0.03619323331373378,2.038072509695922,40.22897229691248,0.18293682430085115
0.03,1.2,0.08,10,0.03,0.08,0.03,0.5,2,1.0,0.0,6341.334399561033,0.056889066593505566,0.028109623205561096,-0.017027396264504224,0.018462026567613476,1.5137426009906745,1.0484757784272518,17,0.5294117647058824,0.10372342446861726,-0.0492426386974973,3.0626138804320253,0,,,0.022646511377519905,2.647009365277227,49.882447408510345,0.17244077340767056
0.03,1.0,0.08,30,0.05,0.08,0.03,0.5,2,1.0,0.0,6449.84987506958,0.07497497917826323,0.03688712230835467,-0.02418883671634775,0.025629479250664243,1.4289577222239824,1.3538425827855292,22,0.5454545454545454,0.12806529254767848,-0.04793410508758807,3.1706745285747755,3,0.6666666666666666,0.0613813987113263,0.04818844492635653,3.196206367085751,63.177751230140814,0.1699612034453063
0.05,1.2,0.08,20,0.03,0.08,0.03,0.5,2,1.0,0.0,6358.60890036283,0.05976815006047165,0.029511894726218957,-0.018737074220355088,0.020100558464902243,1.459860246774703,1.0948312990365314,11,0.5454545454545454,0.15213210125682813,-0.06711892267550265,3.4793840533038725,0,,,0.025631787080371535,1.7231369282266347,32.33921251747269,0.168402109566239
0.08,1.0,0.15,30,0.03,0.08,0.03,0.5,2,1.0,0.0,6921.290905014839,0.1535484841691399,0.07419159349452609,-0.03390877482381627,0.06585427770039777,1.121817585413304,1.2467654970614457,33,0.42424242424242425,0.22982700419176272,-0.06679126618784288,2.6432021906504,0,,,0.0777520817989863,5.114521703789679,96.68814820179122,0.16563108583606956
0.05,1.2,0.08,20,0.05,0.08,0.03,0.5,2,1.0,0.0,6396.3194676387475,0.0660532446064579,0.0325664912680379,-0.02452750000328685,0.022922605877638728,1.4122831755378016,1.2180827994733499,14,0.5714285714285714,0.134225097407695,-0.06145926166387796,3.570360354090573,3,0.6666666666666666,0.042615738371612276,0.030151403923247205,2.021290793527174,40.12818120881189,0.1651024873916032
0.03,1.5,0.08,20,0.03,0.08,0.03,0.5,2,1.0,0.0,6249.94700826253,0.041657834710421726,0.020659255173168356,-0.013511917988208388,0.014702206013630795,1.4009498443394113,0.7752071307230114,9,0.6666666666666666,0.1238157059586303,-0.06297725012818554,4.014325871926426,0,,,0.02134322112082896,1.4214733254111924,26.529116428591852,0.16233161394633863
