variant,period,date,symbol,action,shares,price,cost,reason,is_info,is_observation,event_id
current_1m,train_2025,2025-01-03,SPY,BUY,0.0006013886347154484,581.9863891601562,0.00035,v8_rebalance,False,False,
current_1m,train_2025,2025-01-03,QQQ,BUY,0.000679706641080209,514.747802734375,0.0003498775,v8_rebalance,False,False,
current_1m,train_2025,2025-03-03,SPY,SELL,-0.0001318606222454922,573.9441528320312,7.568063312659352e-05,v8_rebalance,False,False,
current_1m,train_2025,2025-03-03,QQQ,SELL,-0.00013354801570867938,493.37689208984375,6.588950493511387e-05,v8_rebalance,False,False,
current_1m,train_2025,2025-04-01,SPY,SELL,-0.00046952801246995615,553.1869506835938,0.0002597367694787834,v8_rebalance,False,False,
current_1m,train_2025,2025-04-01,QQQ,SELL,-0.0005461586253715296,469.9065856933594,0.000256643534895314,v8_rebalance,False,False,
current_1m,train_2025,2025-06-02,SPY,BUY,0.0005728963436081605,584.4866943359375,0.00033485029007267913,v8_rebalance,False,False,
current_1m,train_2025,2025-06-02,QQQ,BUY,0.0006435713923497806,520.1180419921875,0.0003347330924711538,v8_rebalance,False,False,
confirm_2m_both,train_2025,2025-01-03,SPY,BUY,0.0006013886347154484,581.9863891601562,0.00035,v8_rebalance,False,False,
confirm_2m_both,train_2025,2025-01-03,QQQ,BUY,0.000679706641080209,514.747802734375,0.0003498775,v8_rebalance,False,False,
confirm_2m_both,train_2025,2025-03-03,SPY,SELL,-0.0001318606222454922,573.9441528320312,7.568063312659352e-05,v8_rebalance,False,False,
confirm_2m_both,train_2025,2025-03-03,QQQ,SELL,-0.00013354801570867938,493.37689208984375,6.588950493511387e-05,v8_rebalance,False,False,
confirm_2m_both,train_2025,2025-04-01,SPY,SELL,-0.00016670902626176766,553.1869506835938,9.22212578891784e-05,v8_rebalance,False,False,
confirm_2m_both,train_2025,2025-04-01,QQQ,SELL,-0.0001897061346656911,469.9065856933594,8.914416202583955e-05,v8_rebalance,False,False,
confirm_2m_both,train_2025,2025-05-01,SPY,SELL,-0.0003028189862081885,550.7217407226562,0.00016676899920844363,v8_rebalance,False,False,
confirm_2m_both,train_2025,2025-05-01,QQQ,SELL,-0.0003564524907058384,478.8334655761719,0.00017068138143793481,v8_rebalance,False,False,
confirm_2m_both,train_2025,2025-07-01,SPY,BUY,0.0005495369864272684,610.8812866210938,0.00033570186131456827,v8_rebalance,False,False,
confirm_2m_both,train_2025,2025-07-01,QQQ,BUY,0.000616465749085385,544.3682250976562,0.0003355843656631082,v8_rebalance,False,False,
confirm_2m_exit,train_2025,2025-01-03,SPY,BUY,0.0006013886347154484,581.9863891601562,0.00035,v8_rebalance,False,False,
confirm_2m_exit,train_2025,2025-01-03,QQQ,BUY,0.000679706641080209,514.747802734375,0.0003498775,v8_rebalance,False,False,
confirm_2m_exit,train_2025,2025-03-03,SPY,SELL,-0.0001318606222454922,573.9441528320312,7.568063312659352e-05,v8_rebalance,False,False,
confirm_2m_exit,train_2025,2025-03-03,QQQ,SELL,-0.00013354801570867938,493.37689208984375,6.588950493511387e-05,v8_rebalance,False,False,
confirm_2m_exit,train_2025,2025-04-01,SPY,SELL,-0.00016670902626176766,553.1869506835938,9.22212578891784e-05,v8_rebalance,False,False,
confirm_2m_exit,train_2025,2025-04-01,QQQ,SELL,-0.0001897061346656911,469.9065856933594,8.914416202583955e-05,v8_rebalance,False,False,
confirm_2m_exit,train_2025,2025-05-01,SPY,SELL,-0.0003028189862081885,550.7217407226562,0.00016676899920844363,v8_rebalance,False,False,
confirm_2m_exit,train_2025,2025-05-01,QQQ,SELL,-0.0003564524907058384,478.8334655761719,0.00017068138143793481,v8_rebalance,False,False,
confirm_2m_exit,train_2025,2025-06-02,SPY,BUY,0.0005743532993440932,584.4866943359375,0.00033570186131456827,v8_rebalance,False,False,
confirm_2m_exit,train_2025,2025-06-02,QQQ,BUY,0.0006452080846450407,520.1180419921875,0.0003355843656631082,v8_rebalance,False,False,
confirm_2m_entry,train_2025,2025-01-03,SPY,BUY,0.0006013886347154484,581.9863891601562,0.00035,v8_rebalance,False,False,
confirm_2m_entry,train_2025,2025-01-03,QQQ,BUY,0.000679706641080209,514.747802734375,0.0003498775,v8_rebalance,False,False,
confirm_2m_entry,train_2025,2025-03-03,SPY,SELL,-0.0001318606222454922,573.9441528320312,7.568063312659352e-05,v8_rebalance,False,False,
confirm_2m_entry,train_2025,2025-03-03,QQQ,SELL,-0.00013354801570867938,493.37689208984375,6.588950493511387e-05,v8_rebalance,False,False,
confirm_2m_entry,train_2025,2025-04-01,SPY,SELL,-0.00046952801246995615,553.1869506835938,0.0002597367694787834,v8_rebalance,False,False,
confirm_2m_entry,train_2025,2025-04-01,QQQ,SELL,-0.0005461586253715296,469.9065856933594,0.000256643534895314,v8_rebalance,False,False,
confirm_2m_entry,train_2025,2025-07-01,SPY,BUY,0.0005481429819610335,610.8812866210938,0.00033485029007267913,v8_rebalance,False,False,
confirm_2m_entry,train_2025,2025-07-01,QQQ,BUY,0.0006149019671585436,544.3682250976562,0.0003347330924711537,v8_rebalance,False,False,
ma200_only,train_2025,2025-01-03,SPY,BUY,0.0006013886347154484,581.9863891601562,0.00035,v8_rebalance,False,False,
ma200_only,train_2025,2025-01-03,QQQ,BUY,0.000679706641080209,514.747802734375,0.0003498775,v8_rebalance,False,False,
ma200_only,train_2025,2025-03-03,SPY,SELL,-0.0001318606222454922,573.9441528320312,7.568063312659352e-05,v8_rebalance,False,False,
ma200_only,train_2025,2025-03-03,QQQ,SELL,-0.00013354801570867938,493.37689208984375,6.588950493511387e-05,v8_rebalance,False,False,
ma200_only,train_2025,2025-04-01,SPY,SELL,-0.00046952801246995615,553.1869506835938,0.0002597367694787834,v8_rebalance,False,False,
ma200_only,train_2025,2025-04-01,QQQ,SELL,-0.0005461586253715296,469.9065856933594,0.000256643534895314,v8_rebalance,False,False,
ma200_only,train_2025,2025-06-02,SPY,BUY,0.0005728963436081605,584.4866943359375,0.00033485029007267913,v8_rebalance,False,False,
ma200_only,train_2025,2025-06-02,QQQ,BUY,0.0006435713923497806,520.1180419921875,0.0003347330924711538,v8_rebalance,False,False,
current_1m,test_2026,2026-01-05,SPY,BUY,0.0005116326751481369,684.0845336914062,0.00034999999999999994,v8_rebalance,False,False,
current_1m,test_2026,2026-01-05,QQQ,BUY,0.0005674908407792425,616.5341796875,0.00034987749999999997,v8_rebalance,False,False,
current_1m,test_2026,2026-04-01,SPY,SELL,-0.0005116326751481369,653.5562744140625,0.0003343807450383167,v8_rebalance,False,False,
current_1m,test_2026,2026-04-01,QQQ,SELL,-0.0005674908407792425,583.6685791015625,0.0003312265726907715,v8_rebalance,False,False,
current_1m,test_2026,2026-05-01,SPY,BUY,0.00046957199972546827,718.7982177734375,0.00033752751651897566,v8_rebalance,False,False,
current_1m,test_2026,2026-05-01,QQQ,BUY,0.0005010460125985946,673.4099731445312,0.000337409381888194,v8_rebalance,False,False,
confirm_2m_both,test_2026,2026-01-05,SPY,BUY,0.0005116326751481369,684.0845336914062,0.00034999999999999994,v8_rebalance,False,False,
confirm_2m_both,test_2026,2026-01-05,QQQ,BUY,0.0005674908407792425,616.5341796875,0.00034987749999999997,v8_rebalance,False,False,
confirm_2m_both,test_2026,2026-04-01,SPY,SELL,-0.0002532306887369471,653.5562744140625,0.00016550050549822627,v8_rebalance,False,False,
confirm_2m_both,test_2026,2026-04-01,QQQ,SELL,-0.00027819776762539895,583.6685791015625,0.00016237529573914327,v8_rebalance,False,False,
confirm_2m_both,test_2026,2026-05-01,SPY,BUY,0.00023218464531931976,718.7982177734375,0.00016689390924988476,v8_rebalance,False,False,
confirm_2m_both,test_2026,2026-05-01,QQQ,BUY,0.00023427265611024466,673.4099731445312,0.00015776154305969787,v8_rebalance,False,False,
confirm_2m_exit,test_2026,2026-01-05,SPY,BUY,0.0005116326751481369,684.0845336914062,0.00034999999999999994,v8_rebalance,False,False,
confirm_2m_exit,test_2026,2026-01-05,QQQ,BUY,0.0005674908407792425,616.5341796875,0.00034987749999999997,v8_rebalance,False,False,
confirm_2m_exit,test_2026,2026-04-01,SPY,SELL,-0.0002532306887369471,653.5562744140625,0.00016550050549822627,v8_rebalance,False,False,
confirm_2m_exit,test_2026,2026-04-01,QQQ,SELL,-0.00027819776762539895,583.6685791015625,0.00016237529573914327,v8_rebalance,False,False,
confirm_2m_exit,test_2026,2026-05-01,SPY,BUY,0.00023218464531931976,718.7982177734375,0.00016689390924988476,v8_rebalance,False,False,
confirm_2m_exit,test_2026,2026-05-01,QQQ,BUY,0.00023427265611024466,673.4099731445312,0.00015776154305969787,v8_rebalance,False,False,
confirm_2m_entry,test_2026,2026-01-05,SPY,BUY,0.0005116326751481369,684.0845336914062,0.00034999999999999994,v8_rebalance,False,False,
confirm_2m_entry,test_2026,2026-01-05,QQQ,BUY,0.0005674908407792425,616.5341796875,0.00034987749999999997,v8_rebalance,False,False,
confirm_2m_entry,test_2026,2026-04-01,SPY,SELL,-0.0005116326751481369,653.5562744140625,0.0003343807450383167,v8_rebalance,False,False,
confirm_2m_entry,test_2026,2026-04-01,QQQ,SELL,-0.0005674908407792425,583.6685791015625,0.0003312265726907715,v8_rebalance,False,False,
confirm_2m_entry,test_2026,2026-06-01,SPY,BUY,0.0004461163253072041,756.5908203125,0.00033752751651897566,v8_rebalance,False,False,
confirm_2m_entry,test_2026,2026-06-01,QQQ,BUY,0.00045477578761493755,741.9246826171875,0.000337409381888194,v8_rebalance,False,False,
ma200_only,test_2026,2026-01-05,SPY,BUY,0.0005116326751481369,684.0845336914062,0.00034999999999999994,v8_rebalance,False,False,
ma200_only,test_2026,2026-01-05,QQQ,BUY,0.0005674908407792425,616.5341796875,0.00034987749999999997,v8_rebalance,False,False,
ma200_only,test_2026,2026-04-01,SPY,SELL,-0.0005116326751481369,653.5562744140625,0.0003343807450383167,v8_rebalance,False,False,
ma200_only,test_2026,2026-04-01,QQQ,SELL,-0.0005674908407792425,583.6685791015625,0.0003312265726907715,v8_rebalance,False,False,
ma200_only,test_2026,2026-05-01,SPY,BUY,0.00046957199972546827,718.7982177734375,0.00033752751651897566,v8_rebalance,False,False,
ma200_only,test_2026,2026-05-01,QQQ,BUY,0.0005010460125985946,673.4099731445312,0.000337409381888194,v8_rebalance,False,False,
