date,bull,bear,allow,picks,cash
2016-01-29,False,True,False,FSLR,1.0
2016-02-29,False,True,False,NEM|FSLR,1.0
2016-03-31,True,False,True,NEM|WYNN|LULU|LVS|GNRC,0.0
2016-04-29,False,False,False,NEM|GNRC,1.0
2016-05-31,False,False,False,NEM|OKE|FCX|ULTA|NRG,1.0
2016-06-30,False,False,False,AMD|OKE|NEM|TRGP|FANG,1.0
2016-07-29,True,False,True,DHR|NEM|URI|WMB|BLDR,0.0
2016-08-31,True,False,True,AMD|DHR|DVN|LITE|WMB,0.0
2016-09-30,True,False,True,AMD|WMB|LITE|MU|DVN,0.0
2016-10-31,True,False,True,AMD|TPL|MU|WDC|NFLX,0.0
2016-11-30,True,False,True,AMD|TPL|STX|FCX|WDC,0.0
2016-12-30,True,False,True,AMD|TPL|URI|CF|NFLX,0.0
2017-01-31,True,False,True,AMD|TPL|URI|FCX|CF,0.0
2017-02-28,True,False,True,AMD|URI|NRG|INCY|ARES,0.0
2017-03-31,True,False,True,AMD|NRG|INCY|URI|LITE,0.0
2017-04-28,True,False,True,VRTX,0.8
2017-05-31,True,False,True,LITE|BBY,0.6
2017-06-30,True,False,True,,1.0
2017-07-31,True,False,True,LITE|VRTX|FSLR|NRG,0.19999999999999996
2017-08-31,True,False,True,NRG|VRTX|FSLR,0.3999999999999999
2017-09-29,True,False,True,NRG|TTD,0.6
2017-10-31,True,False,True,NVDA|TTD,0.6
2017-11-30,True,False,True,XYZ|FSLR|ANET,0.3999999999999999
2017-12-29,True,False,True,FSLR|ANET,0.6
2018-01-31,True,False,True,ANET|XYZ|PODD|GWW,0.19999999999999996
2018-02-28,True,False,True,AXON|GWW,0.6
2018-03-29,True,False,True,XYZ|AXON|MU|PODD|GWW,0.0
2018-04-30,True,False,True,CVNA|AXON|SW|CMG,0.19999999999999996
2018-05-31,True,False,True,AXON|CVNA|XYZ|NFLX|CMG,0.0
2018-06-29,True,False,True,AXON|TTD|CVNA|NFLX|XYZ,0.0
2018-07-31,True,False,True,AXON|CVNA|XYZ|AMD,0.19999999999999996
2018-08-31,True,False,True,CVNA|DXCM|XYZ,0.3999999999999999
2018-09-28,True,False,True,TTD|CVNA|AMD|DXCM|XYZ,0.0
2018-10-31,False,True,False,,1.0
2018-11-30,False,False,False,,1.0
2018-12-31,False,True,False,,1.0
2019-01-31,False,False,False,TTD|WDAY|AMD|VEEV|NOW,1.0
2019-02-28,False,False,False,WDAY|DECK,1.0
2019-03-29,False,False,False,TTD|WDAY|NOW,1.0
2019-04-30,True,False,True,TTD|CVNA|AMD|NOW|WDAY,0.0
2019-05-31,True,False,True,VEEV|AMD|IR|AXON,0.19999999999999996
2019-06-28,True,False,True,TTD|AMD|DXCM,0.3999999999999999
2019-07-31,True,False,True,TTD,0.8
2019-08-30,True,False,True,CVNA|PODD|BLDR|TER|QCOM,0.0
2019-09-30,True,False,True,PODD|TER,0.6
2019-10-31,True,False,True,BIIB,0.8
2019-11-29,True,False,True,TSLA|DXCM|CVNA|LITE|PODD,0.0
2019-12-31,True,False,True,TSLA|CVNA|DXCM|AMD|LITE,0.0
2020-01-31,True,False,True,DXCM|AMD|PODD|MRNA,0.19999999999999996
2020-02-28,True,False,True,TSLA|PCG|DXCM|ALB|MRNA,0.0
2020-03-31,False,True,False,MRNA|DXCM|REGN|NFLX,1.0
2020-04-30,True,False,True,TSLA|DXCM|REGN|NEM|DPZ,0.0
2020-05-29,True,False,True,MRNA|TSLA|EQT|DXCM|NEM,0.0
2020-06-30,True,False,True,MRNA|TSLA|CVNA|DXCM|CRWD,0.0
2020-07-31,True,False,True,MRNA|TSLA|CVNA|XYZ|TTD,0.0
2020-08-31,True,False,True,CVNA|XYZ|AMD|EQT|NVDA,0.0
2020-09-30,True,False,True,TSLA|CVNA|XYZ|BLDR|AMD,0.0
2020-10-30,True,False,True,FDX|TTD|GNRC|ALGN|FCX,0.0
2020-11-30,True,False,True,XYZ|CVNA|TPR|ALGN|FCX,0.0
2020-12-31,True,False,True,TSLA|TPR|TTD|ALGN|FCX,0.0
2021-01-29,True,False,True,TSLA|MRNA|CRWD|CVNA|TPR,0.0
2021-02-26,True,False,True,MRNA|FCX|TPR|TPL|OXY,0.0
2021-03-31,True,False,True,TPL|OXY|FANG|DVN|FCX,0.0
2021-04-30,True,False,True,TPL|FANG|DVN|CCL|FCX,0.0
2021-05-28,True,False,True,FCX|STX|DVN|MRNA|MOS,0.0
2021-06-30,True,False,True,MRNA|DVN|FANG|GNRC|EQT,0.0
2021-07-30,True,False,True,GNRC|NVDA|CVNA|ALB|ALGN,0.0
2021-08-31,True,False,True,MRNA|CRWD|ALB|DDOG,0.19999999999999996
2021-09-30,True,False,True,DDOG|DVN,0.6
2021-10-29,True,False,True,DVN|DDOG|FANG|OXY|APA,0.0
2021-11-30,True,False,True,TSLA|DVN|NVDA|DDOG|AMD,0.0
2021-12-31,True,False,True,ON|NVDA|DVN|DDOG|AMD,0.0
2022-01-31,False,False,False,DVN|APA|FANG|HAL,1.0
2022-02-28,False,True,False,DVN|APA|OXY|FANG|CF,1.0
2022-03-31,False,False,False,OXY|APA|DVN|MOS|CF,1.0
2022-04-29,False,True,False,EQT|OXY|CF|APA|NUE,1.0
2022-05-31,False,True,False,EQT|OXY|APA|DVN|HAL,1.0
2022-06-30,False,True,False,,1.0
2022-07-29,False,True,False,OXY|TPL|SMCI|PWR|SNPS,1.0
2022-08-31,False,True,False,SMCI|TPL,1.0
2022-09-30,False,True,False,FSLR|TPL|BIIB,1.0
2022-10-31,False,True,False,FSLR|SMCI|TPL|DVN|BIIB,1.0
2022-11-30,False,False,False,FSLR|BIIB|TPL|SMCI|AXON,1.0
2022-12-30,False,False,False,SMCI|SLB|APA|FICO|HAL,1.0
2023-01-31,False,False,False,FSLR|WYNN|AXON|FICO|RCL,1.0
2023-02-28,False,False,False,WYNN|LVS|STLD|RCL|NVDA,1.0
2023-03-31,True,False,True,NVDA|SMCI|FSLR|AXON|ALGN,0.0
2023-04-28,True,False,True,SMCI|NVDA|META|ALGN|AMD,0.0
2023-05-31,True,False,True,NVDA|META|TTD|AMD|NFLX,0.0
2023-06-30,True,False,True,NVDA|PLTR|APP|META|TTD,0.0
2023-07-31,True,False,True,SMCI|PLTR|NVDA|APP|VRT,0.0
2023-08-31,True,False,True,CVNA|VRT|NVDA|BLDR|TSLA,0.0
2023-09-29,True,False,True,VRT|APP|DELL,0.3999999999999999
2023-10-31,True,False,True,DELL,0.8
2023-11-30,True,False,True,PLTR|WSM|CRWD|PANW|EXPE,0.0
2023-12-29,True,False,True,VRT|EXPE|ANET|KEY|AMD,0.0
2024-01-31,True,False,True,VRT|AMD|DELL|KEY|PANW,0.0
2024-02-29,True,False,True,COIN|VRT|AMD|APP|NVDA,0.0
2024-03-28,True,False,True,SMCI|VRT|PLTR|NVDA|CRWD,0.0
2024-04-30,True,False,True,CVNA|APP|VRT|NVDA|DELL,0.0
2024-05-31,True,False,True,CVNA|VST|VRT|APP|HOOD,0.0
2024-06-28,True,False,True,CVNA|NVDA|APP|DELL|CRWD,0.0
2024-07-31,True,False,True,CVNA|ANET|COHR|TPL|AVGO,0.0
2024-08-30,True,False,True,CVNA|TPL|PLTR|MPWR|RMD,0.0
2024-09-30,True,False,True,CVNA|SATS|PLTR|COHR|TPL,0.0
2024-10-31,True,False,True,APP|VST|COHR|PLTR|TPL,0.0
2024-11-29,True,False,True,CVNA|VST|UAL|HOOD|AXON,0.0
2024-12-31,True,False,True,APP|PLTR|HOOD|UAL|AXON,0.0
2025-01-31,True,False,True,APP|PLTR|TSLA|HOOD|VST,0.0
2025-02-28,True,False,True,HOOD|TPR|SATS|NRG,0.19999999999999996
2025-03-31,False,True,False,,1.0
2025-04-30,False,True,False,PLTR,1.0
2025-05-30,True,False,True,PLTR|HOOD|NRG|GEV|CVNA,0.0
2025-06-30,True,False,True,PLTR|NRG|CVNA|GEV|STX,0.0
2025-07-31,True,False,True,HOOD|PLTR|SMCI|GEV|CVNA,0.0
2025-08-29,True,False,True,HOOD|LITE|PLTR|FIX|GEV,0.0
2025-09-30,True,False,True,HOOD|LITE|PLTR|FIX|STX,0.0
2025-10-31,True,False,True,SATS|HOOD|LITE|APP|STX,0.0
2025-11-28,True,False,True,SATS|WDC|CIEN|MU|WBD,0.0
2025-12-30,True,False,True,LITE|SATS|WDC|CIEN|MU,0.0
