date,bull,bear,value,growth,cash
2000-01-31,False,False,IWD|SCHD|VTV,,0.6
2000-02-29,False,False,IWD|SCHD|VTV,,0.6
2000-03-31,False,False,IWD|SCHD|VTV,,0.6
2000-04-28,False,False,IWD|SCHD|VTV,,0.6
2000-05-31,False,False,IWD|SCHD|VTV,,0.6
2000-06-30,False,False,IWD|SCHD|VTV,,0.6
2000-07-31,False,False,IWD|SCHD|VTV,,0.6
2000-08-31,False,False,IWD|SCHD|VTV,,0.6
2000-09-29,False,False,IWD|SCHD|VTV,,0.6
2000-10-31,False,True,,,1.0
2000-11-30,False,True,,,1.0
2000-12-29,False,True,,,1.0
2001-01-31,False,True,,ADM|ADSK|CCL|DHI|DVA|NVR|RL|RMD|SNPS|STE,0.7
2001-02-28,False,True,,ADM|ADSK|CCL|DVA|ETN|HUM|MTB|NVR|SNPS|STE,0.7
2001-03-30,False,True,,AMD|BSX|COO|HSIC|J|LOW|MKC|NVR|RL|RSG,0.7
2001-04-30,False,True,IWD,FICO|HSIC|J|KLAC|L|NUE|NVR|OXY|PHM|YUM,0.0
2001-05-31,False,False,IWD,AMD|BBY|EBAY|EME|FICO|J|KLAC|LOW|TTWO|WSM,0.0
2001-06-29,False,False,IWD,BBY|EBAY|FFIV|FICO|INSM|IT|KLAC|TTWO|URI|WSM,0.0
2001-07-31,False,True,IWD,AZO|EME|FICO|IT|LOW|PKG|SWKS|TTWO|VTRS|WSM,0.0
2001-08-31,False,True,,AZO|CRL|EFX|FFIV|IFF|MCHP|PCG|PSA|VTRS|WELL,0.7
2001-09-28,False,True,,AZO|BLK|BRO|COR|CRL|ERIE|GD|LHX|NEM|VTRS,0.7
2001-10-31,False,True,,AJG|AZO|BRO|BSX|INTU|LMT|NEM|PCG|SJM|VTRS,0.7
2001-11-30,False,False,IWD,AJG|AZO|BRO|BSX|DHI|EQIX|FFIV|PCG|SHW|SJM,0.0
2001-12-31,False,False,IWD,AZO|BBY|DHI|EQIX|FFIV|MRVL|NTAP|SNA|TTWO|WSM,0.0
2002-01-31,False,False,IWD,DHI|EQIX|FDS|FFIV|JBHT|LEN|MRVL|NVR|TGT|WSM,0.0
2002-02-28,False,True,,BRO|DHI|DRI|FDX|GWW|LEN|LMT|NVR|PHM|STZ,0.7
2002-03-28,False,False,IWD,ASML|FFIV|JBHT|KLAC|MRVL|NVR|RCL|TER|TTWO|TYL,0.0
2002-04-30,False,True,IWD,EME|FCX|HST|LII|MGM|NVR|RCL|TTWO|TYL|WSM,0.0
2002-05-31,False,True,IWD,ALB|DVN|FCX|JBHT|LII|MCO|NEM|STZ|TTWO|WSM,0.0
2002-06-28,False,True,,DLTR|LII|LMT|PHM|STZ|TDY|TSN|UNH|WSM|WTW,0.7
2002-07-31,False,True,,AFL|BSX|CRL|DOC|HSY|MCO|PLD|SPG|UPS|WTW,0.7
2002-08-30,False,True,,BSX|CAG|CRL|HSY|MCO|REG|SO|SPG|STE|UDR,0.7
2002-09-30,False,True,,BALL|BSX|CRL|HSIC|IDXX|STE|TECH|TTWO|UHS|WTW,0.7
