date,regime,risk_multiplier,core_val,core_grow,satellite,cash
2006-01-31,normal,1.0,IWD|VTV,AMD|BLK|CRM|EME|INSM|ISRG|NEM|STX|VRTX|WDC,AMD|INSM|ISRG|NDAQ|VRTX,0.0
2006-02-28,normal,1.0,IWD|VTV,AMD|CIEN|INSM|IVZ|MPWR|REGN|STX|URI|VRTX|WDC,AMD|INSM|MPWR|REGN|VRTX,0.0
2006-03-31,normal,1.0,IWD|VTV,AKAM|AOS|BLK|CIEN|DLR|EME|LVS|NUE|STX|URI,AKAM|AXON|CIEN|MPWR|STLD,0.0
2006-04-28,normal,1.0,IWD|VTV,AKAM|CBRE|DXCM|EME|EQIX|FIX|LVS|NUE|STLD|URI,AKAM|DXCM|LVS|STLD|SWKS,0.0
2006-05-31,elevated,0.75,IWD|VTV,ADM|BA|BKR|DE|GRMN|LVS|OMC|TKO|TRMB|WM,,0.36250000000000004
2006-06-30,elevated,0.75,IWD|VTV,ADM|BKR|CCI|CMCSA|CPB|EXPD|GRMN|LNT|LVS|ODFL,,0.36250000000000004
2006-07-31,elevated,0.75,IWD|VTV,ADM|AES|CMCSA|CPB|ECL|KR|LNT|MRK|PPL|T,,0.36250000000000004
2006-08-31,elevated,0.75,IWD|VTV,AKAM|ECL|ESS|KR|MRK|PNW|SJM|T|TYL|VTR,,0.36250000000000004
2006-09-29,normal,1.0,IWD|VTV,BAX|CMCSA|CNP|COHR|ES|GEN|PFE|PNW|T|TROW,,0.15000000000000002
2006-10-31,normal,1.0,IWD|VTV,ALGN|CNP|COHR|CRM|EQR|ES|ETR|HAS|NEE|T,AKAM|ALNY|REGN,0.0
2006-11-30,normal,1.0,IWD|VTV,ALGN|ALNY|CNP|ES|FFIV|HAS|ICE|NEE|TPR|UAL,ALGN|ALNY|ICE|REGN|UAL,0.0
2006-12-29,normal,1.0,IWD|VTV,ALB|ALNY|CNC|CNP|ES|ETR|ICE|MGM|NEE|UAL,ALGN|ALNY|ICE|SWKS|UAL,0.0
2007-01-31,normal,1.0,IWD|VTV,ALB|DOC|EXPE|HAS|ICE|INCY|LVS|MGM|VMC|WYNN,ICE|INCY|LVS|STLD,0.0
2007-02-28,normal,1.0,IWD|VTV,ALB|CF|ICE|MGM|MLM|NEE|ON|TDG|VMC|WY,ALGN|ICE|MPWR|ON|STLD,0.0
2007-03-30,normal,1.0,IWD|VTV,CF|ES|MLM|NEE|NRG|PEG|PWR|STLD|TDG|VMC,FCX|NUE,0.0
2007-04-30,normal,1.0,IWD|VTV,ES|ETR|MLM|MOS|NRG|PEG|PWR|TAP|VMC|WBD,ALGN|NVR|ON|REGN,0.0
2007-05-31,normal,1.0,IWD|VTV,ALGN|CMI|HON|MLM|NRG|OKE|PWR|TSN|VLO|WBD,ALGN|CIEN|MPWR|NVR,0.0
2007-06-29,normal,1.0,IWD|VTV,ALGN|AXON|CF|CMI|DECK|MA|MLM|MOS|MPWR|PWR,ALGN|CF|ICE|MOS|MPWR,0.0
2007-07-31,normal,1.0,IWD|VTV,AXON|CF|CMI|DECK|FCX|GRMN|ISRG|MA|MOS|SLB,AXON|CF|CIEN|CMI|MOS,0.0
2007-08-31,normal,1.0,IWD|VTV,ALNY|BIIB|CF|CMI|FCX|GRMN|IDXX|ISRG|SLB|TRMB,ALNY|CF|CMI|ISRG|MPWR,0.0
2007-09-28,normal,1.0,IWD|VTV,ALNY|BIIB|GRMN|ISRG|J|LVS|MOS|MPWR|SLB|WYNN,ALNY|CF|FSLR|GRMN|ISRG,0.0
2007-10-31,normal,1.0,IWD|VTV,AAPL|CF|FSLR|GOOG|GOOGL|J|LVS|MNST|MOS|WYNN,ALNY|CF|FSLR|ISRG|MOS,0.0
2007-11-30,normal,1.0,IWD|VTV,AAPL|BRK-B|CF|DECK|FSLR|GOOG|GOOGL|ISRG|MOS|NDAQ,AAPL|CF|DECK|ISRG|MOS,0.0
2007-12-31,elevated,0.75,IWD|VTV,AAPL|BRK-B|CF|DE|FSLR|INCY|IRM|ISRG|MOS|NDAQ,CF|DECK|FSLR|ISRG|MOS,0.2499999999999999
2008-01-31,stress,0.5,,ADM|BLK|CF|DE|INCY|MA|MOS|NDAQ|NEM|VTR,,0.85
2008-02-29,stress,0.5,,ADM|APA|CF|DVN|EOG|EQT|MOS|OXY|STLD|TTWO,,0.85
2008-03-31,stress,0.5,,APA|DVN|EOG|EQT|MOS|ROST|TJX|TKO|TTWO|WMT,,0.85
2008-04-30,stress,0.5,IWD|VTV,APA|CSX|EOG|FSLR|MA|MOS|STLD|TTWO|UHS|WMT,,0.575
2008-05-30,elevated,0.75,IWD|VTV,CSX|HAL|HAS|MA|MPWR|ROST|UHS|UNP|VRTX|WAB,,0.36250000000000004
2008-06-30,stress,0.5,,CF|EW|FFIV|HAL|MOS|MRVL|NDSN|ON|PWR|WAB,,0.85
2008-07-31,stress,0.5,,AMGN|CF|EW|HAS|JBL|ON|QCOM|STE|VRTX|WAB,,0.85
2008-08-29,stress,0.5,,AMGN|CASY|FFIV|IT|JBL|MRSH|ROST|STE|TDY|WAB,,0.85
2008-09-30,stress,0.5,,BRO|CASY|GIS|LYV|MRSH|POOL|REGN|SJM|STE|WFC,,0.85
2008-10-31,panic,0.2,,BRO|CASY|CLX|DAL|DLTR|ED|GIS|HBAN|TFC|WFC,,0.94
2008-11-28,panic,0.2,,CASY|CLX|DAL|DLTR|INSM|KR|SHW|WRB,,0.94
2008-12-31,panic,0.2,,AJG|AON|AZO|BMY|DAL|DLTR|GILD|SHW|VZ|WRB,,0.94
2009-01-30,panic,0.2,,AZO|DLTR|HSY|LDOS|PCG|PNW|RMD|UNH|VRTX|VTRS,,0.94
2009-02-27,panic,0.2,,AZO|INSM|NEM|PCG|TDG|VTRS,,0.94
2009-03-31,panic,0.2,IWD|VTV,AKAM|AZO|BR|DLTR|DRI|INSM|SWKS|TMUS|VTRS|WBD,,0.83
2009-04-30,elevated,0.75,IWD|VTV,AKAM|ALGN|BR|CCEP|COO|DHI|DRI|INSM|MELI|SWKS,BR|DHI|DRI|INSM|SWKS,0.2499999999999999
2009-05-29,normal,1.0,IWD|VTV,CBRE|CCEP|CIEN|DPZ|INSM|LULU|MPWR|ON|RCL|WDC,CBRE|MPWR|ON|PRU|RCL,0.0
2009-06-30,normal,1.0,IWD|VTV,CBRE|EXPE|FCX|FFIV|IP|ON|PRU|STX|TER|WDC,CBRE|EXPE|ON|PRU|STX,0.0
2009-07-31,normal,1.0,IWD|VTV,AES|BAC|BKNG|FITB|INCY|ISRG|MSTR|STX|SWKS|TJX,BAC|CBRE|FITB|STX|SWKS,0.0
2009-08-31,normal,1.0,IWD|VTV,BAC|FITB|HIG|INCY|IP|LULU|STX|SW|URI|WDC,BAC|CBRE|FITB|IP|STX,0.0
2009-09-30,normal,1.0,IWD|VTV,AIG|HIG|INCY|IP|ISRG|LVS|PFG|SW|UAL|WYNN,FITB|HIG|LVS|MGM|SW,0.0
2009-10-30,normal,1.0,IWD|VTV,ARE|CTSH|GPN|JBL|MCK|MSTR|PODD|SW|UDR|ULTA,ALGN|JBL|PODD|SW|ULTA,0.0
2009-11-30,normal,1.0,IWD|VTV,AMZN|CAT|CTSH|DECK|GOOG|GOOGL|LULU|MELI|MSTR|NTAP,AMD|AMZN|INCY|LULU|MELI,0.0
2009-12-31,normal,1.0,IWD|VTV,AMD|AMZN|BKNG|GOOG|GOOGL|INCY|LULU|MELI|NTAP|UAL,AMD|INCY|LULU|MELI|SW,0.0
2010-01-29,normal,1.0,IWD|VTV,COR|DAL|EW|F|INCY|LYV|PODD|RCL|TDG|UAL,DAL|F|INCY|RCL|UAL,0.0
2010-02-26,normal,1.0,IWD|VTV,AXON|DAL|DPZ|EL|EW|F|INCY|ISRG|LYV|UAL,DAL|F|INCY|LYV|UAL,0.0
2010-03-31,normal,1.0,IWD|VTV,DECK|DPZ|EL|EW|F|INCY|INSM|LYV|TSN|UAL,DPZ|F|INCY|LYV|UAL,0.0
2010-04-30,normal,1.0,IWD|VTV,AKAM|CMI|DPZ|EL|HST|INCY|LYV|TRMB|TSN|UAL,INCY|LULU|LVS|LYV|UAL,0.0
2010-05-28,stress,0.5,IWD|VTV,AKAM|AVB|EQR|ESS|EXR|LULU|LVS|UDR|URI|WSM,AKAM|LULU|LVS|ULTA|URI,0.5
2010-06-30,panic,0.2,,AKAM|AZO|COR|DLTR|EW|HAS|MTB|NEM|NTAP|SWKS,,0.94
2010-07-30,elevated,0.75,IWD|VTV,AZO|CRM|DLTR|ERIE|EW|FFIV|HAS|MELI|NTAP|TMUS,FFIV|MELI|NTAP|TMUS,0.2499999999999999
2010-08-31,stress,0.5,,AZO|BKNG|CHRW|CRM|ERIE|FFIV|INTU|LVS|MELI|SO,,0.85
2010-09-30,normal,1.0,IWD|VTV,AKAM|AZO|BKNG|CMI|CRM|ERIE|FFIV|LVS|MELI|URI,AKAM|BKNG|FFIV|LVS|URI,0.0
2010-10-29,normal,1.0,IWD|VTV,AKAM|AMZN|AZO|BKNG|CF|FFIV|LVS|MO|MOS|ZBRA,AKAM|BKNG|FFIV|LVS|UAL,0.0
2010-11-30,normal,1.0,IWD|VTV,AME|AZO|BKNG|CCEP|CF|CMG|FFIV|LVS|RCL|URI,BKNG|FFIV|LVS|RCL|URI,0.0
2010-12-31,normal,1.0,IWD|VTV,CF|DECK|ERIE|F|FCX|LULU|RCL|SLB|SWKS|URI,DECK|FFIV|LULU|RCL|URI,0.0
2011-01-31,normal,1.0,IWD|VTV,CIEN|DVN|ERIE|HAL|LULU|ON|SWKS|TRMB|URI|VLO,CIEN|LULU|MGM|TER|URI,0.0
2011-02-28,normal,1.0,IWD|VTV,BKR|CIEN|JBL|LYB|ON|SATS|SWKS|TER|URI|VLO,CIEN|JBL|LULU|TER|URI,0.0
2011-03-31,normal,1.0,IWD|VTV,BKR|CHTR|MSTR|MU|OKE|PSKY|SATS|URI|WMB|WY,CIEN|CRH|LULU|MU|REGN,0.0
2011-04-29,normal,1.0,IWD|VTV,CHTR|IRM|LULU|OKE|PSKY|REGN|SATS|ULTA|WAB|WMB,CIEN|COHR|LULU|REGN|VRTX,0.0
2011-05-31,normal,1.0,IWD|VTV,BIIB|CHTR|DPZ|INSM|IRM|MCO|PODD|POOL|REGN|ULTA,COHR|INSM|REGN|VRTX,0.0
2011-06-30,normal,1.0,IWD|VTV,BIIB|DPZ|EA|ELV|HUM|INSM|MNST|MSTR|REGN|ULTA,FTNT|INSM|LULU|REGN,0.0
2011-07-29,normal,1.0,IWD|VTV,BIIB|CMG|DLTR|DPZ|INSM|LULU|MCD|MNST|MSTR|ULTA,INSM,0.0
2011-08-31,stress,0.5,,AMZN|CF|CMG|DLTR|DPZ|EQT|EXPE|MA|MCD|MNST,,0.85
2011-09-30,panic,0.2,,AZO|BMY|DG|DLTR|DPZ|ED|MCD|MNST|NEM|SO,,0.94
2011-10-31,elevated,0.75,IWD|VTV,AZO|DG|DLTR|DPZ|MCD|MNST|NEM|ORLY|ROST|TYL,,0.36250000000000004
2011-11-30,elevated,0.75,IWD|VTV,AXON|CASY|DECK|DLTR|DPZ|FAST|ORLY|STX|TYL|URI,,0.36250000000000004
